Time,EcgWaveform
27/09/2019 11:11:43.452,297
27/09/2019 11:11:43.456,297
27/09/2019 11:11:43.460,297
27/09/2019 11:11:43.464,297
27/09/2019 11:11:43.468,297
27/09/2019 11:11:43.472,297
27/09/2019 11:11:43.476,297
27/09/2019 11:11:43.480,297
27/09/2019 11:11:43.484,297
27/09/2019 11:11:43.488,297
27/09/2019 11:11:43.492,297
27/09/2019 11:11:43.496,297
27/09/2019 11:11:43.500,297
27/09/2019 11:11:43.504,297
27/09/2019 11:11:43.508,297
27/09/2019 11:11:43.512,297
27/09/2019 11:11:43.516,297
27/09/2019 11:11:43.520,297
27/09/2019 11:11:43.524,297
27/09/2019 11:11:43.528,297
27/09/2019 11:11:43.532,297
27/09/2019 11:11:43.536,297
27/09/2019 11:11:43.540,297
27/09/2019 11:11:43.544,297
27/09/2019 11:11:43.548,297
27/09/2019 11:11:43.552,297
27/09/2019 11:11:43.556,297
27/09/2019 11:11:43.560,297
27/09/2019 11:11:43.564,297
27/09/2019 11:11:43.568,297
27/09/2019 11:11:43.572,297
27/09/2019 11:11:43.576,297
27/09/2019 11:11:43.580,297
27/09/2019 11:11:43.584,297
27/09/2019 11:11:43.588,297
27/09/2019 11:11:43.592,297
27/09/2019 11:11:43.596,297
27/09/2019 11:11:43.600,297
27/09/2019 11:11:43.604,297
27/09/2019 11:11:43.608,297
27/09/2019 11:11:43.612,297
27/09/2019 11:11:43.616,297
27/09/2019 11:11:43.620,297
27/09/2019 11:11:43.624,297
27/09/2019 11:11:43.628,297
27/09/2019 11:11:43.632,297
27/09/2019 11:11:43.636,297
27/09/2019 11:11:43.640,297
27/09/2019 11:11:43.644,297
27/09/2019 11:11:43.648,297
27/09/2019 11:11:43.652,297
27/09/2019 11:11:43.656,297
27/09/2019 11:11:43.660,297
27/09/2019 11:11:43.664,297
27/09/2019 11:11:43.668,297
27/09/2019 11:11:43.672,297
27/09/2019 11:11:43.676,297
27/09/2019 11:11:43.680,297
27/09/2019 11:11:43.684,297
27/09/2019 11:11:43.688,297
27/09/2019 11:11:43.692,297
27/09/2019 11:11:43.696,297
27/09/2019 11:11:43.700,297
27/09/2019 11:11:43.704,297
27/09/2019 11:11:43.708,297
27/09/2019 11:11:43.712,297
27/09/2019 11:11:43.716,297
27/09/2019 11:11:43.720,297
27/09/2019 11:11:43.724,297
27/09/2019 11:11:43.728,297
27/09/2019 11:11:43.732,297
27/09/2019 11:11:43.736,297
27/09/2019 11:11:43.740,297
27/09/2019 11:11:43.744,297
27/09/2019 11:11:43.748,297
27/09/2019 11:11:43.752,297
27/09/2019 11:11:43.756,297
27/09/2019 11:11:43.760,297
27/09/2019 11:11:43.764,297
27/09/2019 11:11:43.768,297
27/09/2019 11:11:43.772,297
27/09/2019 11:11:43.776,297
27/09/2019 11:11:43.780,297
27/09/2019 11:11:43.784,297
27/09/2019 11:11:43.788,297
27/09/2019 11:11:43.792,297
27/09/2019 11:11:43.796,297
27/09/2019 11:11:43.800,297
27/09/2019 11:11:43.804,297
27/09/2019 11:11:43.808,297
27/09/2019 11:11:43.812,297
27/09/2019 11:11:43.816,297
27/09/2019 11:11:43.820,297
27/09/2019 11:11:43.824,297
27/09/2019 11:11:43.828,297
27/09/2019 11:11:43.832,297
27/09/2019 11:11:43.836,297
27/09/2019 11:11:43.840,297
27/09/2019 11:11:43.844,297
27/09/2019 11:11:43.848,297
27/09/2019 11:11:43.852,297
27/09/2019 11:11:43.856,297
27/09/2019 11:11:43.860,297
27/09/2019 11:11:43.864,297
27/09/2019 11:11:43.868,297
27/09/2019 11:11:43.872,297
27/09/2019 11:11:43.876,297
27/09/2019 11:11:43.880,297
27/09/2019 11:11:43.884,297
27/09/2019 11:11:43.888,297
27/09/2019 11:11:43.892,297
27/09/2019 11:11:43.896,297
27/09/2019 11:11:43.900,297
27/09/2019 11:11:43.904,297
27/09/2019 11:11:43.908,297
27/09/2019 11:11:43.912,297
27/09/2019 11:11:43.916,297
27/09/2019 11:11:43.920,297
27/09/2019 11:11:43.924,297
27/09/2019 11:11:43.928,297
27/09/2019 11:11:43.932,297
27/09/2019 11:11:43.936,297
27/09/2019 11:11:43.940,297
27/09/2019 11:11:43.944,297
27/09/2019 11:11:43.948,297
27/09/2019 11:11:43.952,297
27/09/2019 11:11:43.956,297
27/09/2019 11:11:43.960,297
27/09/2019 11:11:43.964,297
27/09/2019 11:11:43.968,297
27/09/2019 11:11:43.972,297
27/09/2019 11:11:43.976,297
27/09/2019 11:11:43.980,297
27/09/2019 11:11:43.984,297
27/09/2019 11:11:43.988,297
27/09/2019 11:11:43.992,297
27/09/2019 11:11:43.996,297
27/09/2019 11:11:44.000,297
27/09/2019 11:11:44.004,297
27/09/2019 11:11:44.008,297
27/09/2019 11:11:44.012,297
27/09/2019 11:11:44.016,297
27/09/2019 11:11:44.020,297
27/09/2019 11:11:44.024,297
27/09/2019 11:11:44.028,297
27/09/2019 11:11:44.032,297
27/09/2019 11:11:44.036,297
27/09/2019 11:11:44.040,297
27/09/2019 11:11:44.044,297
27/09/2019 11:11:44.048,297
27/09/2019 11:11:44.052,297
27/09/2019 11:11:44.056,297
27/09/2019 11:11:44.060,297
27/09/2019 11:11:44.064,297
27/09/2019 11:11:44.068,297
27/09/2019 11:11:44.072,297
27/09/2019 11:11:44.076,297
27/09/2019 11:11:44.080,297
27/09/2019 11:11:44.084,297
27/09/2019 11:11:44.088,297
27/09/2019 11:11:44.092,297
27/09/2019 11:11:44.096,297
27/09/2019 11:11:44.100,297
27/09/2019 11:11:44.104,297
27/09/2019 11:11:44.108,297
27/09/2019 11:11:44.112,297
27/09/2019 11:11:44.116,297
27/09/2019 11:11:44.120,297
27/09/2019 11:11:44.124,297
27/09/2019 11:11:44.128,297
27/09/2019 11:11:44.132,297
27/09/2019 11:11:44.136,297
27/09/2019 11:11:44.140,297
27/09/2019 11:11:44.144,297
27/09/2019 11:11:44.148,297
27/09/2019 11:11:44.152,297
27/09/2019 11:11:44.156,297
27/09/2019 11:11:44.160,297
27/09/2019 11:11:44.164,297
27/09/2019 11:11:44.168,297
27/09/2019 11:11:44.172,297
27/09/2019 11:11:44.176,297
27/09/2019 11:11:44.180,297
27/09/2019 11:11:44.184,297
27/09/2019 11:11:44.188,297
27/09/2019 11:11:44.192,297
27/09/2019 11:11:44.196,297
27/09/2019 11:11:44.200,297
27/09/2019 11:11:44.204,297
27/09/2019 11:11:44.208,297
27/09/2019 11:11:44.212,297
27/09/2019 11:11:44.216,297
27/09/2019 11:11:44.220,297
27/09/2019 11:11:44.224,297
27/09/2019 11:11:44.228,297
27/09/2019 11:11:44.232,297
27/09/2019 11:11:44.236,297
27/09/2019 11:11:44.240,297
27/09/2019 11:11:44.244,297
27/09/2019 11:11:44.248,297
27/09/2019 11:11:44.252,297
27/09/2019 11:11:44.256,297
27/09/2019 11:11:44.260,297
27/09/2019 11:11:44.264,297
27/09/2019 11:11:44.268,297
27/09/2019 11:11:44.272,297
27/09/2019 11:11:44.276,297
27/09/2019 11:11:44.280,297
27/09/2019 11:11:44.284,297
27/09/2019 11:11:44.288,297
27/09/2019 11:11:44.292,297
27/09/2019 11:11:44.296,297
27/09/2019 11:11:44.300,297
27/09/2019 11:11:44.304,297
27/09/2019 11:11:44.308,297
27/09/2019 11:11:44.312,297
27/09/2019 11:11:44.316,297
27/09/2019 11:11:44.320,297
27/09/2019 11:11:44.324,297
27/09/2019 11:11:44.328,297
27/09/2019 11:11:44.332,297
27/09/2019 11:11:44.336,297
27/09/2019 11:11:44.340,297
27/09/2019 11:11:44.344,297
27/09/2019 11:11:44.348,297
27/09/2019 11:11:44.352,297
27/09/2019 11:11:44.356,297
27/09/2019 11:11:44.360,297
27/09/2019 11:11:44.364,297
27/09/2019 11:11:44.368,297
27/09/2019 11:11:44.372,297
27/09/2019 11:11:44.376,297
27/09/2019 11:11:44.380,297
27/09/2019 11:11:44.384,297
27/09/2019 11:11:44.388,297
27/09/2019 11:11:44.392,297
27/09/2019 11:11:44.396,297
27/09/2019 11:11:44.400,297
27/09/2019 11:11:44.404,297
27/09/2019 11:11:44.408,297
27/09/2019 11:11:44.412,297
27/09/2019 11:11:44.416,297
27/09/2019 11:11:44.420,297
27/09/2019 11:11:44.424,297
27/09/2019 11:11:44.428,297
