Time,Vertical,Lateral,Sagittal
27/09/2019 11:11:44.562,2015,2123,2039
27/09/2019 11:11:44.572,2015,2125,2039
27/09/2019 11:11:44.582,2015,2125,2039
27/09/2019 11:11:44.592,2014,2123,2039
27/09/2019 11:11:44.602,2014,2124,2037
27/09/2019 11:11:44.612,2014,2124,2039
27/09/2019 11:11:44.622,2015,2122,2038
27/09/2019 11:11:44.632,2015,2122,2038
27/09/2019 11:11:44.642,2016,2123,2038
27/09/2019 11:11:44.652,2016,2124,2037
27/09/2019 11:11:44.662,2015,2122,2039
27/09/2019 11:11:44.672,2015,2121,2039
27/09/2019 11:11:44.682,2014,2123,2039
27/09/2019 11:11:44.692,2014,2123,2039
27/09/2019 11:11:44.702,2014,2122,2039
27/09/2019 11:11:44.712,2015,2123,2038
27/09/2019 11:11:44.722,2015,2123,2038
27/09/2019 11:11:44.732,2014,2123,2036
27/09/2019 11:11:44.742,2014,2125,2037
27/09/2019 11:11:44.752,2014,2125,2037
27/09/2019 11:11:44.762,2014,2125,2037
27/09/2019 11:11:44.772,2014,2125,2038
27/09/2019 11:11:44.782,2013,2124,2038
27/09/2019 11:11:44.792,2014,2123,2039
27/09/2019 11:11:44.802,2015,2123,2039
27/09/2019 11:11:44.812,2016,2119,2039
27/09/2019 11:11:44.822,2015,2122,2040
27/09/2019 11:11:44.832,2016,2121,2040
27/09/2019 11:11:44.842,2016,2121,2040
27/09/2019 11:11:44.852,2014,2119,2039
27/09/2019 11:11:44.862,2014,2119,2037
27/09/2019 11:11:44.872,2015,2123,2040
27/09/2019 11:11:44.882,2015,2124,2039
27/09/2019 11:11:44.892,2015,2125,2039
27/09/2019 11:11:44.902,2015,2125,2040
27/09/2019 11:11:44.912,2015,2124,2040
27/09/2019 11:11:44.922,2015,2122,2037
27/09/2019 11:11:44.932,2015,2120,2036
27/09/2019 11:11:44.942,2015,2122,2037
27/09/2019 11:11:44.952,2015,2124,2038
27/09/2019 11:11:44.962,2016,2122,2035
27/09/2019 11:11:44.972,2015,2120,2036
27/09/2019 11:11:44.982,2017,2121,2035
27/09/2019 11:11:44.992,2016,2123,2036
27/09/2019 11:11:45.002,2015,2124,2036
27/09/2019 11:11:45.012,2016,2122,2039
27/09/2019 11:11:45.022,2015,2122,2039
27/09/2019 11:11:45.032,2014,2123,2039
27/09/2019 11:11:45.042,2014,2124,2038
27/09/2019 11:11:45.052,2014,2123,2038
27/09/2019 11:11:45.062,2014,2123,2037
27/09/2019 11:11:45.072,2014,2126,2038
27/09/2019 11:11:45.082,2013,2125,2039
27/09/2019 11:11:45.092,2015,2125,2039
27/09/2019 11:11:45.102,2015,2123,2039
27/09/2019 11:11:45.112,2017,2125,2039
27/09/2019 11:11:45.122,2016,2122,2040
27/09/2019 11:11:45.132,2015,2121,2038
27/09/2019 11:11:45.142,2016,2120,2039
27/09/2019 11:11:45.152,2015,2121,2038
27/09/2019 11:11:45.162,2014,2123,2036
27/09/2019 11:11:45.172,2014,2121,2037
27/09/2019 11:11:45.182,2015,2123,2037
27/09/2019 11:11:45.192,2015,2125,2039
27/09/2019 11:11:45.202,2015,2124,2038
27/09/2019 11:11:45.212,2015,2124,2037
27/09/2019 11:11:45.222,2016,2124,2037
27/09/2019 11:11:45.232,2015,2122,2038
27/09/2019 11:11:45.242,2016,2121,2037
27/09/2019 11:11:45.252,2013,2120,2036
27/09/2019 11:11:45.262,2015,2123,2035
27/09/2019 11:11:45.272,2015,2122,2036
27/09/2019 11:11:45.282,2015,2122,2038
27/09/2019 11:11:45.292,2016,2121,2038
