x,y
218.0,1111
219.0,1150
220.0,1118
221.0,1146
222.0,1178
223.0,1099
224.0,1130
225.0,1041
226.0,1134
227.0,1041
228.0,1045
229.0,1139
230.0,1039
231.0,1125
232.0,1098
233.0,1185
234.0,1227
235.0,1187
236.0,1232
237.0,1081
238.0,1190
239.0,1149
240.0,1130
241.0,1162
242.0,1114
243.0,1210
244.0,1196
245.0,1147
246.0,1255
247.0,1212
248.0,1322
249.0,1208
250.0,1045
251.0,1179
252.0,1318
253.0,1201
254.0,2180
255.0,1001
256.0,1230
257.0,1297
258.0,1200
259.0,1110
260.0,1014
261.0,1206
262.0,954
263.0,385
264.0,1271
265.0,1174
266.0,1075
267.0,1183
268.0,1326
269.0,1243
270.0,1136
271.0,1118
272.0,1206
273.0,1239
274.0,1202
275.0,1165
276.0,1062
277.0,957
278.0,1000
279.0,1243
280.0,1287
281.0,1244
282.0,1174
283.0,1196
284.0,1199
285.0,458
286.0,612
287.0,945
288.0,913
289.0,902
290.0,2296
291.0,1316
292.0,1350
293.0,1301
294.0,1194
295.0,1016
296.0,1097
297.0,1001
298.0,549
299.0,360
300.0,979
301.0,1139
302.0,1196
303.0,1176
304.0,1162
305.0,1171
306.0,1143
307.0,994
308.0,1055
309.0,1231
310.0,1267
311.0,1237
312.0,1237
313.0,1218
314.0,1118
315.0,994
316.0,1002
317.0,1210
318.0,1255
319.0,1218
320.0,1185
321.0,1228
322.0,1147
323.0,1095
324.0,1125
325.0,1190
326.0,1228
327.0,1182
328.0,1149
329.0,1083
330.0,972
331.0,982
332.0,1096
333.0,1131
334.0,1157
335.0,1139
336.0,1046
337.0,1090
338.0,1183
339.0,1203
340.0,1222
341.0,2247
342.0,1004
343.0,1093
344.0,1166
345.0,1161
346.0,1148
347.0,1150
348.0,1099
349.0,992
350.0,1025
351.0,1160
352.0,1173
353.0,1118
354.0,1104
355.0,720
356.0,349
357.0,952
358.0,961
359.0,1100
360.0,1171
361.0,1167
362.0,1155
363.0,1118
364.0,1096
365.0,1028
366.0,1006
367.0,1126
368.0,1200
369.0,1156
370.0,1182
371.0,1197
372.0,1087
373.0,983
374.0,1075
375.0,1243
376.0,1252
377.0,1221
378.0,1208
379.0,2296
380.0,1026
381.0,1105
382.0,1191
383.0,1242
384.0,1200
385.0,1201
386.0,1160
387.0,1099
388.0,1037
389.0,1073
390.0,1213
391.0,1241
392.0,1214
393.0,1181
394.0,1189
395.0,1116
396.0,987
397.0,931
398.0,1011
399.0,1184
400.0,1198
401.0,1195
402.0,1184
403.0,1192
404.0,1121
405.0,1026
406.0,1176
407.0,1252
408.0,1223
409.0,1209
410.0,1082
411.0,974
412.0,1073
413.0,1240
414.0,1239
415.0,1190
416.0,1237
417.0,1185
418.0,1104
419.0,1015
420.0,1135
421.0,1222
422.0,1190
423.0,1160
424.0,1154
425.0,1139
426.0,1119
427.0,1039
428.0,945
429.0,964
430.0,1128
431.0,1190
432.0,1187
433.0,1178
434.0,1174
435.0,1181
436.0,1140
437.0,1053
438.0,969
439.0,992
440.0,1103
441.0,1196
442.0,1178
443.0,1159
444.0,1118
445.0,1147
446.0,1066
447.0,460
448.0,1711
449.0,1084
450.0,1066
451.0,1069
452.0,912
453.0,128
454.0,3554
455.0,2175
456.0,1162
457.0,1198
458.0,1211
459.0,1170
460.0,1183
461.0,1173
462.0,1103
463.0,1060
464.0,1106
465.0,1192
466.0,1205
467.0,1207
468.0,1202
469.0,1190
470.0,1124
471.0,1045
472.0,1136
473.0,1198
474.0,1217
475.0,1188
476.0,1192
477.0,1155
478.0,1047
479.0,964
480.0,989
481.0,1147
482.0,1214
483.0,1115
484.0,1174
485.0,1158
486.0,1108
487.0,1028
488.0,1052
489.0,1194
490.0,1219
491.0,1179
492.0,1144
493.0,1118
494.0,1143
495.0,1129
496.0,1068
497.0,946
498.0,955
499.0,936
500.0,1022
501.0,1079
502.0,1073
503.0,1103
504.0,1044
505.0,985
506.0,945
507.0,1033
508.0,1117
509.0,1138
510.0,1084
511.0,1082
512.0,1069
513.0,1175
514.0,1226
515.0,1184
516.0,1216
517.0,1177
518.0,1174
519.0,1162
520.0,1068
521.0,973
522.0,953
523.0,1037
524.0,1084
525.0,1070
526.0,1053
527.0,1068
528.0,1043
529.0,1023
530.0,992
531.0,997
532.0,988
533.0,982
534.0,954
535.0,924
536.0,904
537.0,865
538.0,826
539.0,798
540.0,1526
541.0,749
542.0,754
543.0,743
544.0,715
545.0,719
546.0,730
547.0,720
548.0,726
549.0,747
550.0,767
551.0,775
552.0,782
553.0,839
554.0,869
555.0,836
556.0,226
557.0,166
558.0,477
559.0,679
560.0,982
561.0,813
562.0,769
563.0,750
564.0,739
565.0,742
566.0,746
567.0,770
568.0,812
569.0,819
570.0,821
571.0,648
572.0,199
573.0,210
574.0,1437
575.0,841
576.0,1695
577.0,853
578.0,857
579.0,837
580.0,814
581.0,805
582.0,779
583.0,800
584.0,795
585.0,2268
586.0,749
587.0,750
588.0,749
589.0,734
590.0,758
591.0,772
592.0,763
593.0,762
594.0,2318
595.0,860
596.0,908
597.0,870
598.0,834
599.0,849
600.0,892
601.0,929
602.0,1772
603.0,853
604.0,509
605.0,394
606.0,874
607.0,902
608.0,908
609.0,858
610.0,299
611.0,758
612.0,607
613.0,782
614.0,1046
615.0,962
616.0,936
617.0,969
618.0,574
619.0,380
620.0,102
621.0,807
622.0,906
623.0,927
624.0,902
625.0,927
626.0,1720
627.0,858
628.0,857
629.0,807
630.0,845
631.0,856
632.0,822
633.0,796
634.0,815
635.0,800
636.0,1299
637.0,270
638.0,633
639.0,171
640.0,326
641.0,308
642.0,194
643.0,825
644.0,813
645.0,786
646.0,823
647.0,861
648.0,694
649.0,136
650.0,810
651.0,355
652.0,510
653.0,874
654.0,819
655.0,396
656.0,440
657.0,852
658.0,811
659.0,822
660.0,841
661.0,834
662.0,812
663.0,852
664.0,807
665.0,828
666.0,863
667.0,879
668.0,891
669.0,832
670.0,850
671.0,854
672.0,859
673.0,868
674.0,1683
675.0,862
676.0,851
677.0,548
678.0,273
679.0,863
680.0,827
681.0,852
682.0,908
683.0,1908
684.0,635
685.0,357
686.0,304
687.0,712
688.0,140
689.0,867
690.0,853
691.0,810
692.0,890
693.0,964
694.0,998
695.0,875
696.0,902
697.0,1944
698.0,680
699.0,317
700.0,930
701.0,982
702.0,1966
703.0,996
704.0,1039
705.0,970
706.0,977
707.0,986
708.0,917
709.0,946
710.0,467
711.0,491
712.0,899
713.0,929
714.0,908
715.0,864
716.0,906
717.0,896
718.0,842
719.0,690
720.0,217
721.0,870
722.0,828
723.0,864
724.0,858
725.0,843
726.0,922
727.0,859
728.0,893
729.0,893
730.0,818
731.0,841
732.0,923
733.0,923
734.0,437
735.0,445
736.0,884
737.0,704
738.0,213
739.0,854
740.0,880
741.0,924
742.0,896
743.0,937
744.0,931
745.0,885
746.0,908
747.0,880
748.0,855
749.0,874
750.0,862
751.0,826
752.0,872
753.0,860
754.0,492
755.0,332
756.0,606
757.0,228
758.0,482
759.0,376
760.0,828
761.0,808
762.0,838
763.0,825
764.0,1592
765.0,187
766.0,135
767.0,520
768.0,850
769.0,771
770.0,878
771.0,871
772.0,888
773.0,821
774.0,1774
775.0,874
776.0,860
777.0,881
778.0,869
779.0,828
780.0,892
781.0,923
782.0,852
783.0,458
784.0,402
785.0,885
786.0,860
787.0,842
788.0,880
789.0,864
790.0,836
791.0,236
792.0,658
793.0,899
794.0,851
795.0,915
796.0,923
797.0,850
798.0,866
799.0,890
800.0,147
801.0,705
802.0,356
803.0,461
804.0,885
805.0,912
806.0,848
807.0,818
808.0,829
809.0,882
810.0,916
811.0,877
812.0,818
813.0,839
814.0,900
815.0,957
816.0,927
817.0,852
818.0,862
819.0,927
820.0,1012
821.0,962
822.0,928
823.0,1001
824.0,984
825.0,910
826.0,643
827.0,205
828.0,874
829.0,898
830.0,879
831.0,893
832.0,985
833.0,387
834.0,554
835.0,1892
836.0,959
837.0,906
838.0,932
839.0,869
840.0,848
841.0,753
842.0,169
843.0,956
844.0,892
845.0,954
846.0,981
847.0,922
848.0,854
849.0,890
850.0,969
851.0,984
852.0,897
853.0,919
854.0,554
855.0,406
856.0,431
857.0,518
858.0,950
859.0,998
860.0,956
861.0,964
862.0,1023
863.0,960
864.0,995
865.0,430
866.0,564
867.0,907
868.0,595
869.0,353
870.0,965
871.0,722
872.0,195
873.0,734
874.0,226
875.0,921
876.0,882
877.0,943
878.0,945
879.0,898
880.0,971
881.0,1003
882.0,917
883.0,859
884.0,833
885.0,885
886.0,987
887.0,1060
888.0,1016
889.0,1794
890.0,851
891.0,841
892.0,1957
893.0,152
894.0,991
895.0,1140
896.0,1146
897.0,1084
898.0,103
899.0,1017
900.0,997
901.0,888
902.0,910
903.0,234
904.0,769
905.0,564
906.0,997
907.0,633
908.0,1001
909.0,1070
910.0,1094
911.0,1128
912.0,1044
913.0,1010
914.0,1058
915.0,1053
916.0,948
917.0,465
918.0,397
919.0,689
920.0,152
921.0,1781
922.0,934
923.0,895
924.0,855
925.0,820
926.0,854
927.0,902
928.0,950
929.0,1007
930.0,935
931.0,992
932.0,999
933.0,938
934.0,924
935.0,918
936.0,913
937.0,843
938.0,919
939.0,886
940.0,822
941.0,830
942.0,868
943.0,870
944.0,826
945.0,872
946.0,863
947.0,810
948.0,814
949.0,814
950.0,818
951.0,794
952.0,840
953.0,883
954.0,825
955.0,908
956.0,916
957.0,848
958.0,862
959.0,909
960.0,900
961.0,869
962.0,917
963.0,868
964.0,852
965.0,897
966.0,900
967.0,882
968.0,930
969.0,874
970.0,933
971.0,950
972.0,925
973.0,944
974.0,979
975.0,890
976.0,842
977.0,859
978.0,935
979.0,984
980.0,880
981.0,848
982.0,1970
983.0,959
984.0,906
985.0,345
986.0,660
987.0,240
988.0,755
989.0,901
990.0,858
991.0,907
992.0,949
993.0,1000
994.0,897
995.0,834
996.0,905
997.0,982
998.0,1006
999.0,949
1000.0,890
1001.0,854
1002.0,939
1003.0,992
1004.0,978
1005.0,894
1006.0,902
1007.0,938
1008.0,932
1009.0,865
1010.0,828
1011.0,828
1012.0,850
1013.0,784
1014.0,359
1015.0,432
1016.0,793
1017.0,770
1018.0,808
1019.0,846
1020.0,880
1021.0,835
1022.0,809
1023.0,861
1024.0,893
1025.0,904
1026.0,851
1027.0,841
1028.0,881
1029.0,912
1030.0,523
1031.0,359
1032.0,910
1033.0,924
1034.0,911
1035.0,972
1036.0,975
1037.0,951
1038.0,1014
1039.0,948
1040.0,963
1041.0,535
1042.0,471
1043.0,884
1044.0,904
1045.0,908
1046.0,894
1047.0,828
1048.0,821
1049.0,892
1050.0,974
1051.0,902
1052.0,902
1053.0,979
1054.0,964
1055.0,946
1056.0,1013
1057.0,984
1058.0,982
1059.0,974
1060.0,919
1061.0,962
1062.0,992
1063.0,909
1064.0,985
1065.0,1000
1066.0,966
1067.0,1042
1068.0,1064
1069.0,1012
1070.0,1058
1071.0,1020
1072.0,974
1073.0,994
1074.0,912
1075.0,501
1076.0,405
1077.0,975
1078.0,910
1079.0,836
1080.0,896
1081.0,965
1082.0,946
1083.0,866
1084.0,898
1085.0,1004
1086.0,1022
1087.0,955
1088.0,1023
1089.0,1058
1090.0,1044
1091.0,1118
1092.0,1041
1093.0,1100
1094.0,1068
1095.0,983
1096.0,1033
1097.0,1007
1098.0,927
1099.0,978
1100.0,950
1101.0,903
1102.0,964
1103.0,970
1104.0,905
1105.0,976
1106.0,1049
1107.0,953
1108.0,1008
1109.0,1019
1110.0,935
1111.0,988
1112.0,907
1113.0,865
1114.0,891
1115.0,928
1116.0,866
1117.0,875
1118.0,859
1119.0,851
1120.0,814
1121.0,794
1122.0,800
1123.0,822
1124.0,786
1125.0,790
1126.0,871
1127.0,876
1128.0,835
1129.0,820
1130.0,883
1131.0,879
1132.0,832
1133.0,875
1134.0,911
1135.0,880
1136.0,939
1137.0,968
1138.0,911
1139.0,951
1140.0,968
1141.0,902
1142.0,940
1143.0,1001
1144.0,906
1145.0,927
1146.0,942
1147.0,862
1148.0,928
1149.0,945
1150.0,895
1151.0,929
1152.0,941
1153.0,867
1154.0,816
1155.0,795
1156.0,783
1157.0,794
1158.0,892
1159.0,945
1160.0,1031
1161.0,1018
1162.0,959
1163.0,1030
1164.0,1016
1165.0,967
1166.0,975
1167.0,931
1168.0,833
1169.0,886
1170.0,945
1171.0,985
1172.0,936
1173.0,970
1174.0,996
1175.0,1011
1176.0,950
1177.0,967
1178.0,928
1179.0,887
1180.0,952
1181.0,915
1182.0,888
1183.0,929
1184.0,888
1185.0,862
1186.0,909
1187.0,894
1188.0,842
1189.0,891
1190.0,921
1191.0,856
1192.0,887
1193.0,890
1194.0,841
1195.0,911
1196.0,925
1197.0,881
1198.0,921
1199.0,927
1200.0,867
1201.0,920
1202.0,939
1203.0,866
1204.0,905
1205.0,925
1206.0,873
1207.0,914
1208.0,890
1209.0,832
1210.0,870
1211.0,918
1212.0,856
1213.0,902
1214.0,908
1215.0,849
1216.0,909
1217.0,927
1218.0,856
1219.0,892
1220.0,938
1221.0,863
1222.0,883
1223.0,894
1224.0,850
1225.0,870
1226.0,912
1227.0,846
1228.0,859
1229.0,886
1230.0,864
1231.0,898
1232.0,935
1233.0,880
1234.0,901
1235.0,924
1236.0,854
1237.0,860
1238.0,913
1239.0,907
1240.0,870
1241.0,909
1242.0,912
1243.0,886
1244.0,947
1245.0,934
1246.0,911
1247.0,976
1248.0,1816
1249.0,941
1250.0,897
1251.0,873
1252.0,937
1253.0,948
1254.0,880
1255.0,919
1256.0,895
1257.0,854
1258.0,914
1259.0,938
1260.0,864
1261.0,921
1262.0,921
1263.0,861
1264.0,938
1265.0,947
1266.0,870
1267.0,926
1268.0,959
1269.0,895
1270.0,938
1271.0,913
1272.0,844
1273.0,880
1274.0,896
1275.0,844
1276.0,835
1277.0,818
1278.0,854
1279.0,820
1280.0,839
1281.0,853
1282.0,821
1283.0,835
1284.0,881
1285.0,873
1286.0,810
1287.0,864
1288.0,920
1289.0,915
1290.0,883
1291.0,821
1292.0,802
1293.0,548
1294.0,2140
1295.0,1032
1296.0,1055
1297.0,1044
1298.0,969
1299.0,885
1300.0,880
1301.0,960
1302.0,1008
1303.0,1013
1304.0,914
1305.0,845
1306.0,932
1307.0,996
1308.0,1021
1309.0,1008
1310.0,1050
1311.0,1026
1312.0,939
1313.0,1005
1314.0,1040
1315.0,999
1316.0,921
1317.0,1005
1318.0,995
1319.0,980
1320.0,1030
1321.0,966
1322.0,985
1323.0,983
1324.0,902
1325.0,960
1326.0,928
1327.0,882
1328.0,922
1329.0,955
1330.0,898
1331.0,963
1332.0,936
1333.0,927
1334.0,1007
1335.0,988
1336.0,943
1337.0,1005
1338.0,989
1339.0,917
1340.0,986
1341.0,971
1342.0,949
1343.0,1013
1344.0,986
1345.0,976
1346.0,1018
1347.0,977
1348.0,996
1349.0,986
1350.0,894
1351.0,951
1352.0,933
1353.0,871
1354.0,914
1355.0,909
1356.0,858
1357.0,897
1358.0,926
1359.0,874
1360.0,896
1361.0,940
1362.0,900
1363.0,835
1364.0,816
1365.0,864
1366.0,940
1367.0,969
1368.0,871
1369.0,867
1370.0,975
1371.0,1041
1372.0,968
1373.0,963
1374.0,1001
1375.0,918
1376.0,562
1377.0,271
1378.0,2341
1379.0,3936
1380.0,1090
1381.0,1082
1382.0,1001
1383.0,925
1384.0,1046
1385.0,1126
1386.0,1119
1387.0,991
1388.0,914
1389.0,1036
1390.0,1867
1391.0,235
1392.0,1313
1393.0,1382
1394.0,295
1395.0,564
1396.0,587
1397.0,423
1398.0,682
1399.0,704
1400.0,314
1401.0,809
1402.0,128
1403.0,904
1404.0,321
1405.0,661
1406.0,1076
1407.0,307
1408.0,772
1409.0,981
1410.0,900
1411.0,911
1412.0,1089
1413.0,408
1414.0,675
1415.0,867
1416.0,149
1417.0,1048
1418.0,1043
1419.0,966
1420.0,880
1421.0,989
1422.0,1140
1423.0,1180
1424.0,683
1425.0,54
1426.0,436
1427.0,328
1428.0,690
1429.0,236
1430.0,1891
1431.0,1053
1432.0,1257
1433.0,753
1434.0,810
1435.0,844
1436.0,903
1437.0,1011
1438.0,1107
1439.0,1093
1440.0,1039
1441.0,1057
1442.0,1104
1443.0,1126
1444.0,1071
1445.0,1097
1446.0,1168
1447.0,1132
1448.0,1068
1449.0,1115
1450.0,1146
1451.0,1030
1452.0,1027
1453.0,1141
1454.0,1182
1455.0,1146
1456.0,1096
1457.0,1013
1458.0,1232
1459.0,891
1460.0,1187
1461.0,1161
1462.0,1147
1463.0,1041
1464.0,949
1465.0,1005
1466.0,1203
1467.0,1239
1468.0,1195
1469.0,1170
1470.0,1190
1471.0,1114
1472.0,962
1473.0,914
1474.0,921
1475.0,1125
1476.0,1166
1477.0,1229
1478.0,1238
1479.0,1240
1480.0,1237
1481.0,1057
1482.0,927
1483.0,1007
1484.0,1155
1485.0,1230
1486.0,1221
1487.0,696
1488.0,242
1489.0,199
1490.0,253
1491.0,644
1492.0,1145
1493.0,2095
1494.0,408
1495.0,150
1496.0,245
1497.0,416
1498.0,277
1499.0,799
1500.0,173
1501.0,651
1502.0,313
1503.0,314
1504.0,912
1505.0,53
1506.0,341
1507.0,522
1508.0,425
1509.0,209
1510.0,1016
1511.0,1123
1512.0,1194
1513.0,390
1514.0,863
1515.0,1210
1516.0,1171
1517.0,1104
1518.0,1104
1519.0,1037
1520.0,94
1521.0,1271
1522.0,449
1523.0,216
1524.0,359
1525.0,1115
1526.0,1122
1527.0,537
1528.0,554
1529.0,1022
1530.0,979
1531.0,1097
1532.0,1170
1533.0,746
1534.0,172
1535.0,530
1536.0,957
1537.0,1163
1538.0,1158
1539.0,1169
1540.0,1098
1541.0,860
1542.0,718
1543.0,503
1544.0,1156
1545.0,632
1546.0,599
1547.0,1197
1548.0,1187
1549.0,1207
1550.0,1116
1551.0,1014
1552.0,1005
1553.0,894
1554.0,228
1555.0,1184
1556.0,1175
1557.0,1133
1558.0,1158
1559.0,1056
1560.0,1047
1561.0,1023
1562.0,1045
1563.0,1041
1564.0,1057
1565.0,961
1566.0,1028
1567.0,1074
1568.0,1067
1569.0,1064
1570.0,1090
1571.0,1105
1572.0,1109
1573.0,1096
1574.0,1097
1575.0,1060
1576.0,619
1577.0,367
1578.0,938
1579.0,1050
1580.0,1095
1581.0,1101
1582.0,1105
1583.0,1111
1584.0,1097
1585.0,1072
1586.0,983
1587.0,88
1588.0,446
1589.0,477
1590.0,213
1591.0,135
1592.0,238
1593.0,297
1594.0,260
1595.0,838
1596.0,1090
1597.0,1066
1598.0,1088
1599.0,1083
1600.0,1099
1601.0,1090
1602.0,1081
1603.0,1080
1604.0,1077
1605.0,1084
1606.0,1075
1607.0,1064
1608.0,1023
1609.0,630
1610.0,290
1611.0,589
1612.0,737
1613.0,33
1614.0,1209
1615.0,1006
1616.0,401
1617.0,224
1618.0,432
1619.0,1097
1620.0,1110
1621.0,512
1622.0,587
1623.0,1064
1624.0,942
1625.0,662
1626.0,148
1627.0,331
1628.0,135
1629.0,337
1630.0,229
1631.0,36
1632.0,530
1633.0,309
1634.0,859
1635.0,926
1636.0,1017
1637.0,674
1638.0,439
1639.0,188
1640.0,136
1641.0,220
1642.0,497
1643.0,1066
1644.0,1059
1645.0,1046
1646.0,1019
1647.0,134
1648.0,135
1649.0,468
1650.0,209
1651.0,362
1652.0,533
1653.0,966
1654.0,1011
1655.0,1019
1656.0,1041
1657.0,1012
1658.0,1036
1659.0,1037
1660.0,998
1661.0,1654
1662.0,374
1663.0,166
1664.0,149
1665.0,289
1666.0,336
1667.0,189
1668.0,684
1669.0,412
1670.0,563
1671.0,839
1672.0,300
1673.0,1152
1674.0,1145
1675.0,1155
1676.0,518
1677.0,569
1678.0,1068
1679.0,591
1680.0,547
1681.0,1158
1682.0,1111
1683.0,1267
1684.0,757
1685.0,940
1686.0,763
1687.0,541
1688.0,1048
1689.0,1189
1690.0,1137
1691.0,1154
1692.0,1088
1693.0,1007
1694.0,970
1695.0,449
1696.0,668
1697.0,1148
1698.0,751
1699.0,458
1700.0,1229
1701.0,1208
1702.0,1148
1703.0,1173
1704.0,1137
1705.0,1033
1706.0,1002
1707.0,1121
1708.0,1185
1709.0,1163
1710.0,1120
1711.0,1121
1712.0,382
1713.0,663
1714.0,949
1715.0,905
1716.0,972
1717.0,1111
1718.0,1095
1719.0,100
1720.0,1160
1721.0,1155
1722.0,1107
1723.0,1052
1724.0,967
1725.0,907
1726.0,441
1727.0,423
1728.0,848
1729.0,1006
1730.0,1099
1731.0,622
1732.0,475
1733.0,358
1734.0,761
1735.0,1128
1736.0,1127
1737.0,1048
1738.0,1003
1739.0,1057
1740.0,808
1741.0,331
1742.0,1125
1743.0,1109
1744.0,1106
1745.0,1083
1746.0,1008
1747.0,1043
1748.0,1102
1749.0,1123
1750.0,1110
1751.0,1101
1752.0,977
1753.0,1126
1754.0,585
1755.0,235
1756.0,458
1757.0,105
1758.0,320
1759.0,273
1760.0,329
1761.0,196
1762.0,91
1763.0,685
1764.0,577
1765.0,297
1766.0,308
1767.0,131
1768.0,446
1769.0,962
1770.0,525
1771.0,226
1772.0,531
1773.0,293
1774.0,231
1775.0,374
1776.0,233
1777.0,926
1778.0,407
1779.0,972
1780.0,213
1781.0,184
1782.0,607
1783.0,138
1784.0,405
1785.0,122
1786.0,376
1787.0,219
1788.0,345
1789.0,2232
1790.0,1063
1791.0,593
1792.0,150
1793.0,338
1794.0,378
1795.0,626
1796.0,381
1797.0,656
1798.0,998
1799.0,499
1800.0,517
1801.0,1193
1802.0,953
1803.0,1074
1804.0,1065
1805.0,1089
1806.0,1106
1807.0,318
1808.0,730
1809.0,976
1810.0,1076
1811.0,1148
1812.0,1153
1813.0,1160
1814.0,1155
1815.0,1135
1816.0,1144
1817.0,1118
1818.0,1087
1819.0,1026
1820.0,284
1821.0,662
1822.0,271
1823.0,587
1824.0,85
1825.0,1060
1826.0,991
1827.0,977
1828.0,971
1829.0,602
1830.0,366
1831.0,951
1832.0,939
1833.0,940
1834.0,931
1835.0,866
1836.0,688
1837.0,175
1838.0,844
1839.0,846
1840.0,853
1841.0,832
1842.0,423
1843.0,398
1844.0,844
1845.0,837
1846.0,819
1847.0,876
1848.0,874
1849.0,795
1850.0,837
1851.0,824
1852.0,792
1853.0,776
1854.0,757
1855.0,756
1856.0,781
1857.0,790
1858.0,1605
1859.0,816
1860.0,812
1861.0,1576
1862.0,819
1863.0,890
1864.0,1990
1865.0,1018
1866.0,1022
1867.0,1011
1868.0,980
1869.0,922
1870.0,908
1871.0,958
1872.0,2064
1873.0,1042
1874.0,1024
1875.0,1005
1876.0,957
1877.0,970
1878.0,1038
1879.0,1139
1880.0,594
1881.0,521
1882.0,1085
1883.0,1056
1884.0,1013
1885.0,695
1886.0,353
1887.0,373
1888.0,520
1889.0,927
1890.0,930
1891.0,949
1892.0,905
1893.0,903
1894.0,900
1895.0,289
1896.0,194
1897.0,347
1898.0,796
1899.0,676
1900.0,1049
1901.0,900
1902.0,897
1903.0,889
1904.0,847
1905.0,873
1906.0,910
1907.0,924
1908.0,937
1909.0,977
1910.0,993
1911.0,1000
1912.0,1014
1913.0,1016
1914.0,1004
1915.0,1001
1916.0,987
1917.0,141
1918.0,428
1919.0,230
1920.0,126
1921.0,789
1922.0,244
1923.0,939
1924.0,374
1925.0,618
1926.0,101
1927.0,715
1928.0,753
1929.0,502
1930.0,220
1931.0,291
1932.0,427
1933.0,77
1934.0,752
1935.0,349
1936.0,475
1937.0,111
1938.0,825
1939.0,787
1940.0,833
1941.0,860
1942.0,873
1943.0,860
1944.0,964
1945.0,1044
1946.0,1069
1947.0,1050
1948.0,997
1949.0,934
1950.0,971
1951.0,980
1952.0,1004
1953.0,1028
1954.0,1012
1955.0,1012
1956.0,1040
1957.0,1039
1958.0,1051
1959.0,965
1960.0,985
1961.0,1048
1962.0,1062
1963.0,1054
1964.0,987
1965.0,911
1966.0,937
1967.0,890
1968.0,830
1969.0,890
1970.0,898
1971.0,942
1972.0,1775
1973.0,945
1974.0,949
1975.0,1001
1976.0,1059
1977.0,1042
1978.0,1003
1979.0,1045
1980.0,1052
1981.0,996
1982.0,999
1983.0,980
1984.0,943
1985.0,861
1986.0,844
1987.0,869
1988.0,882
1989.0,891
1990.0,918
1991.0,889
1992.0,880
1993.0,932
1994.0,961
1995.0,948
1996.0,321
1997.0,554
1998.0,914
1999.0,931
2000.0,935
2001.0,951
2002.0,237
2003.0,516
2004.0,200
2005.0,942
2006.0,927
2007.0,835
2008.0,537
2009.0,383
2010.0,813
2011.0,837
2012.0,964
2013.0,1014
2014.0,1004
2015.0,1059
2016.0,1098
2017.0,1106
2018.0,1115
2019.0,1145
2020.0,1102
2021.0,1055
2022.0,1088
2023.0,1090
2024.0,1069
2025.0,991
2026.0,629
2027.0,398
2028.0,981
2029.0,899
2030.0,925
2031.0,894
2032.0,854
2033.0,901
2034.0,890
2035.0,871
2036.0,990
2037.0,1007
2038.0,1005
