Time,RtoR
,827
,780
,758
,778
,781
,831
,772
,888
,799
,918
,761
,762
,747
,908
,886
,988
,946
,976
,961
,957
,931
,841
,856
,807
,1006
,877
,1027
,907
,945
,807
,863
,971
,979
,959
,1041
,926
,1009
,933
,1018
,1028
,1040
,1076
,1010
,889
,1014
,966
,999
,973
,1098
,899
,917
,845
,921
,1042
,1013
,947
,1011
,1032
,933
,1052
,1019
,1045
,1117
,1029
,1102
,1069
,1117
,1066
,1081
,1092
,1053
,1015
,787
,783
,1049
,859
,1016
,966
,1079
,1048
,1070
,1025
,1005
,1057
,1039
,944
,1015
,1053
,946
,914
,1067
,934
,1044
,894
,990
,1086
,1097
,1014
,1050
,1089
,954
,948
,861
,994
,938
,1062
,1032
,992
,983
,906
,1035
,1005
,934
,1063
,970
,854
,915
,885
,919
,922
,993
,885
,959
,999
,978
,974
,1008
,961
,930
,1000
,952
,981
,1041
,1006
,928
,836
,936
,964
,916
,967
,883
,924
,987
,907
,1043
,931
,1059
,1005
,1000
,1054
,956
,1025
,1067
,933
,1039
,1035
,949
,972
,1027
,888
,1047
,1069
,1014
,1005
,975
,945
,881
,872
,862
,845
,951
,917
,920
,943
,908
,996
,985
,1008
,968
,881
,878
,802
,788
,948
,860
,880
,950
,947
,909
,801
,746
,809
,993
,954
,853
,799
,916
,1069
,1049
,982
,1065
,986
,1079
,940
,840
,797
,806
,968
,1023
,933
,880
,960
,924
,850
,785
,877
,995
,954
,955
,927
,877
,961
,994
,894
,782
,749
,728
,716
,708
,702
,733
,805
,733
,718
,750
,881
,968
,996
,925
,1022
,998
,1020
,997
,1014
,1046
,1046
,1045
,967
,1079
,1041
,1069
,1038
,1012
,1018
,955
,984
,1025
,1003
,904
,815
,1053
,1009
,1045
,1045
,953
,981
,1009
,937
,932
,1030
,1001
,1069
,1129
,1056
,1056
,1020
,1095
,1082
,1087
,1067
,966
,934
,913
,789
,879
,847
,1085
,1050
,886
,922
,994
,994
,863
,1005
,914
,1109
,1076
,972
,1044
,911
,1092
,1058
,964
,895
,942
,882
,1034
,981
,1040
,945
,966
,1013
,886
,893
,814
,798
,793
,756
,763
,846
,1075
,1045
,1047
,988
,893
,1014
,918
,1051
,939
,1007
,981
,1037
,998
,1045
,932
,1059
,1008
,789
,751
,1180
,1048
,1079
,1027
,1068
,1047
,884
,1061
,1041
,974
,995
,824
,823
,811
,861
,1109
,1046
,1059
,966
,1037
,1054
,949
,823
,829
,966
,945
,1022
,1008
,1047
,968
,1000
,1017
,1007
,894
