Time,Vertical,Lateral,Sagittal
01/10/2019 14:23:09.771,2070,2126,2061
01/10/2019 14:23:09.781,2068,2131,2064
01/10/2019 14:23:09.791,2064,2129,2064
01/10/2019 14:23:09.801,2063,2129,2064
01/10/2019 14:23:09.811,2062,2131,2064
01/10/2019 14:23:09.821,2062,2132,2064
01/10/2019 14:23:09.831,2062,2131,2064
01/10/2019 14:23:09.841,2064,2129,2064
01/10/2019 14:23:09.851,2063,2126,2063
01/10/2019 14:23:09.861,2065,2125,2062
01/10/2019 14:23:09.871,2065,2125,2062
01/10/2019 14:23:09.881,2064,2127,2063
01/10/2019 14:23:09.891,2063,2128,2063
01/10/2019 14:23:09.901,2063,2127,2062
01/10/2019 14:23:09.911,2064,2127,2063
01/10/2019 14:23:09.921,2063,2128,2063
01/10/2019 14:23:09.931,2063,2128,2063
01/10/2019 14:23:09.941,2063,2128,2062
01/10/2019 14:23:09.951,2063,2129,2063
01/10/2019 14:23:09.961,2063,2129,2063
01/10/2019 14:23:09.971,2063,2129,2063
01/10/2019 14:23:09.981,2063,2128,2063
01/10/2019 14:23:09.991,2064,2128,2060
01/10/2019 14:23:10.001,2063,2128,2062
01/10/2019 14:23:10.011,2063,2129,2063
01/10/2019 14:23:10.021,2063,2126,2061
01/10/2019 14:23:10.031,2063,2127,2062
01/10/2019 14:23:10.041,2063,2127,2063
01/10/2019 14:23:10.051,2063,2128,2062
01/10/2019 14:23:10.061,2063,2129,2063
01/10/2019 14:23:10.071,2063,2128,2063
01/10/2019 14:23:10.081,2063,2129,2063
01/10/2019 14:23:10.091,2063,2128,2064
01/10/2019 14:23:10.101,2063,2127,2064
01/10/2019 14:23:10.111,2063,2127,2063
01/10/2019 14:23:10.121,2063,2127,2063
01/10/2019 14:23:10.131,2063,2127,2063
01/10/2019 14:23:10.141,2063,2126,2063
01/10/2019 14:23:10.151,2063,2128,2063
01/10/2019 14:23:10.161,2063,2129,2063
01/10/2019 14:23:10.171,2063,2129,2061
01/10/2019 14:23:10.181,2063,2129,2062
01/10/2019 14:23:10.191,2063,2128,2063
01/10/2019 14:23:10.201,2063,2130,2062
01/10/2019 14:23:10.211,2063,2129,2063
01/10/2019 14:23:10.221,2063,2128,2062
01/10/2019 14:23:10.231,2063,2129,2063
01/10/2019 14:23:10.241,2063,2128,2062
01/10/2019 14:23:10.251,2063,2129,2062
01/10/2019 14:23:10.261,2063,2127,2063
01/10/2019 14:23:10.271,2063,2127,2063
01/10/2019 14:23:10.281,2063,2126,2062
01/10/2019 14:23:10.291,2063,2127,2063
01/10/2019 14:23:10.301,2063,2128,2063
01/10/2019 14:23:10.311,2064,2128,2063
01/10/2019 14:23:10.321,2063,2127,2064
01/10/2019 14:23:10.331,2063,2128,2064
01/10/2019 14:23:10.341,2063,2129,2064
01/10/2019 14:23:10.351,2064,2129,2063
01/10/2019 14:23:10.361,2063,2128,2063
01/10/2019 14:23:10.371,2063,2127,2062
01/10/2019 14:23:10.381,2063,2127,2062
01/10/2019 14:23:10.391,2063,2125,2063
01/10/2019 14:23:10.401,2063,2127,2063
01/10/2019 14:23:10.411,2063,2127,2063
01/10/2019 14:23:10.421,2063,2128,2063
01/10/2019 14:23:10.431,2063,2129,2062
01/10/2019 14:23:10.441,2063,2128,2062
01/10/2019 14:23:10.451,2063,2129,2063
01/10/2019 14:23:10.461,2063,2128,2062
01/10/2019 14:23:10.471,2063,2129,2061
01/10/2019 14:23:10.481,2063,2129,2062
01/10/2019 14:23:10.491,2063,2129,2063
01/10/2019 14:23:10.501,2063,2129,2063
01/10/2019 14:23:10.511,2063,2128,2062
01/10/2019 14:23:10.521,2063,2128,2062
01/10/2019 14:23:10.531,2063,2127,2063
01/10/2019 14:23:10.541,2063,2127,2062
01/10/2019 14:23:10.551,2063,2126,2063
01/10/2019 14:23:10.561,2063,2128,2063
01/10/2019 14:23:10.571,2063,2129,2063
01/10/2019 14:23:10.581,2063,2128,2063
01/10/2019 14:23:10.591,2063,2129,2061
01/10/2019 14:23:10.601,2063,2129,2061
01/10/2019 14:23:10.611,2063,2128,2061
01/10/2019 14:23:10.621,2063,2127,2061
01/10/2019 14:23:10.631,2063,2128,2061
01/10/2019 14:23:10.641,2063,2128,2061
01/10/2019 14:23:10.651,2063,2128,2060
01/10/2019 14:23:10.661,2063,2129,2060
01/10/2019 14:23:10.671,2063,2128,2062
01/10/2019 14:23:10.681,2063,2129,2063
01/10/2019 14:23:10.691,2063,2126,2063
01/10/2019 14:23:10.701,2063,2127,2062
01/10/2019 14:23:10.711,2063,2127,2063
01/10/2019 14:23:10.721,2063,2127,2063
01/10/2019 14:23:10.731,2063,2127,2061
01/10/2019 14:23:10.741,2063,2126,2062
01/10/2019 14:23:10.751,2062,2127,2062
01/10/2019 14:23:10.761,2062,2126,2063
01/10/2019 14:23:10.771,2063,2126,2063
01/10/2019 14:23:10.781,2062,2127,2063
01/10/2019 14:23:10.791,2064,2127,2061
01/10/2019 14:23:10.801,2063,2128,2062
01/10/2019 14:23:10.811,2063,2128,2062
01/10/2019 14:23:10.821,2063,2127,2062
01/10/2019 14:23:10.831,2063,2127,2063
01/10/2019 14:23:10.841,2063,2127,2063
01/10/2019 14:23:10.851,2063,2127,2063
01/10/2019 14:23:10.861,2062,2128,2063
01/10/2019 14:23:10.871,2062,2129,2062
01/10/2019 14:23:10.881,2062,2129,2062
01/10/2019 14:23:10.891,2063,2129,2062
01/10/2019 14:23:10.901,2063,2127,2062
01/10/2019 14:23:10.911,2063,2126,2062
01/10/2019 14:23:10.921,2063,2127,2062
01/10/2019 14:23:10.931,2063,2127,2063
01/10/2019 14:23:10.941,2063,2127,2062
01/10/2019 14:23:10.951,2063,2128,2063
01/10/2019 14:23:10.961,2062,2127,2063
01/10/2019 14:23:10.971,2062,2127,2062
01/10/2019 14:23:10.981,2062,2128,2061
01/10/2019 14:23:10.991,2062,2128,2062
01/10/2019 14:23:11.001,2062,2128,2063
01/10/2019 14:23:11.011,2062,2128,2062
01/10/2019 14:23:11.021,2061,2129,2063
01/10/2019 14:23:11.031,2062,2128,2062
01/10/2019 14:23:11.041,2062,2129,2062
01/10/2019 14:23:11.051,2062,2128,2063
01/10/2019 14:23:11.061,2062,2128,2062
01/10/2019 14:23:11.071,2062,2129,2063
01/10/2019 14:23:11.081,2062,2127,2063
01/10/2019 14:23:11.091,2062,2128,2063
01/10/2019 14:23:11.101,2062,2127,2062
01/10/2019 14:23:11.111,2063,2128,2063
01/10/2019 14:23:11.121,2063,2128,2062
01/10/2019 14:23:11.131,2063,2127,2063
01/10/2019 14:23:11.141,2063,2128,2063
01/10/2019 14:23:11.151,2063,2127,2063
01/10/2019 14:23:11.161,2063,2128,2063
01/10/2019 14:23:11.171,2063,2129,2063
01/10/2019 14:23:11.181,2063,2129,2063
01/10/2019 14:23:11.191,2063,2129,2063
01/10/2019 14:23:11.201,2063,2128,2063
01/10/2019 14:23:11.211,2063,2129,2063
01/10/2019 14:23:11.221,2063,2129,2063
01/10/2019 14:23:11.231,2062,2128,2062
01/10/2019 14:23:11.241,2062,2128,2063
01/10/2019 14:23:11.251,2062,2128,2063
01/10/2019 14:23:11.261,2062,2127,2047
01/10/2019 14:23:11.271,2061,2127,2062
01/10/2019 14:23:11.281,2062,2128,2063
01/10/2019 14:23:11.291,2062,2128,2063
01/10/2019 14:23:11.301,2061,2129,2063
01/10/2019 14:23:11.311,2061,2128,2062
01/10/2019 14:23:11.321,2061,2129,2061
01/10/2019 14:23:11.331,2061,2129,2061
01/10/2019 14:23:11.341,2062,2130,2061
01/10/2019 14:23:11.351,2062,2130,2061
01/10/2019 14:23:11.361,2061,2127,2063
01/10/2019 14:23:11.371,2061,2127,2063
01/10/2019 14:23:11.381,2061,2126,2062
01/10/2019 14:23:11.391,2062,2128,2062
01/10/2019 14:23:11.401,2062,2128,2063
01/10/2019 14:23:11.411,2061,2126,2063
01/10/2019 14:23:11.421,2062,2126,2062
01/10/2019 14:23:11.431,2062,2128,2063
01/10/2019 14:23:11.441,2062,2129,2062
01/10/2019 14:23:11.451,2062,2130,2063
01/10/2019 14:23:11.461,2062,2129,2063
01/10/2019 14:23:11.471,2062,2129,2062
01/10/2019 14:23:11.481,2061,2128,2063
01/10/2019 14:23:11.491,2063,2130,2063
01/10/2019 14:23:11.501,2063,2129,2061
01/10/2019 14:23:11.511,2064,2127,2060
01/10/2019 14:23:11.521,2063,2126,2062
01/10/2019 14:23:11.531,2062,2128,2063
01/10/2019 14:23:11.541,2063,2126,2062
01/10/2019 14:23:11.551,2063,2126,2063
01/10/2019 14:23:11.561,2063,2127,2063
01/10/2019 14:23:11.571,2064,2128,2063
01/10/2019 14:23:11.581,2064,2129,2063
01/10/2019 14:23:11.591,2063,2128,2063
01/10/2019 14:23:11.601,2063,2127,2063
01/10/2019 14:23:11.611,2063,2128,2062
01/10/2019 14:23:11.621,2063,2128,2061
01/10/2019 14:23:11.631,2063,2128,2061
01/10/2019 14:23:11.641,2063,2129,2060
01/10/2019 14:23:11.651,2063,2129,2062
01/10/2019 14:23:11.661,2063,2129,2062
01/10/2019 14:23:11.671,2063,2128,2063
01/10/2019 14:23:11.681,2063,2128,2063
01/10/2019 14:23:11.691,2063,2128,2062
01/10/2019 14:23:11.701,2063,2129,2063
01/10/2019 14:23:11.711,2063,2130,2062
01/10/2019 14:23:11.721,2063,2129,2062
01/10/2019 14:23:11.731,2063,2127,2062
01/10/2019 14:23:11.741,2063,2128,2062
01/10/2019 14:23:11.751,2064,2127,2063
01/10/2019 14:23:11.761,2063,2128,2062
01/10/2019 14:23:11.771,2063,2128,2063
01/10/2019 14:23:11.781,2063,2128,2062
01/10/2019 14:23:11.791,2063,2126,2062
01/10/2019 14:23:11.801,2063,2128,2062
01/10/2019 14:23:11.811,2063,2129,2062
01/10/2019 14:23:11.821,2063,2129,2063
01/10/2019 14:23:11.831,2061,2127,2063
01/10/2019 14:23:11.841,2062,2126,2063
01/10/2019 14:23:11.851,2062,2127,2062
01/10/2019 14:23:11.861,2060,2127,2064
01/10/2019 14:23:11.871,2062,2128,2064
01/10/2019 14:23:11.881,2062,2127,2063
01/10/2019 14:23:11.891,2062,2128,2063
01/10/2019 14:23:11.901,2062,2127,2063
01/10/2019 14:23:11.911,2062,2127,2062
01/10/2019 14:23:11.921,2062,2127,2063
01/10/2019 14:23:11.931,2062,2128,2062
01/10/2019 14:23:11.941,2062,2128,2063
01/10/2019 14:23:11.951,2062,2128,2063
01/10/2019 14:23:11.961,2062,2127,2063
01/10/2019 14:23:11.971,2062,2127,2062
01/10/2019 14:23:11.981,2062,2128,2061
01/10/2019 14:23:11.991,2061,2128,2062
01/10/2019 14:23:12.001,2061,2129,2063
01/10/2019 14:23:12.011,2062,2129,2063
01/10/2019 14:23:12.021,2062,2128,2063
01/10/2019 14:23:12.031,2062,2128,2062
01/10/2019 14:23:12.041,2062,2128,2063
01/10/2019 14:23:12.051,2062,2128,2063
01/10/2019 14:23:12.061,2062,2128,2063
01/10/2019 14:23:12.071,2062,2129,2063
01/10/2019 14:23:12.081,2062,2128,2062
01/10/2019 14:23:12.091,2062,2129,2063
01/10/2019 14:23:12.101,2062,2128,2062
01/10/2019 14:23:12.111,2062,2129,2062
01/10/2019 14:23:12.121,2062,2128,2062
01/10/2019 14:23:12.131,2063,2128,2062
01/10/2019 14:23:12.141,2063,2128,2062
01/10/2019 14:23:12.151,2063,2128,2063
01/10/2019 14:23:12.161,2063,2129,2062
01/10/2019 14:23:12.171,2064,2128,2063
01/10/2019 14:23:12.181,2063,2128,2063
01/10/2019 14:23:12.191,2064,2129,2063
01/10/2019 14:23:12.201,2063,2129,2063
01/10/2019 14:23:12.211,2062,2128,2063
01/10/2019 14:23:12.221,2062,2127,2063
