Time,RtoR
,598
,595
,585
,585
,584
,589
,590
,582
,581
,576
,577
,584
,601
,641
,720
,703
,685
,677
,664
,649
,633
,615
,601
,582
,567
,552
,548
,545
,547
,552
,548
,549
,554
,573
,612
,612
,593
,604
,609
,605
,615
,619
,608
,618
,617
,602
,619
,620
,618
,623
,627
,632
,613
,617
,611
,608
,595
,599
,601
,615
,635
,616
,625
,631
,627
,608
,613
,614
,629
,626
,636
,636
,645
,617
,608
,597
,590
,591
,606
,631
,659
,673
,661
,642
,613
,611
,601
,601
,609
,599
,601
,604
,610
,615
,602
,613
,607
,604
,597
,606
,605
,592
,605
,613
,634
,623
,612
,615
,618
,626
,625
,602
,600
,591
,585
,588
,593
,607
,624
,636
,641
,634
,631
,626
,615
,595
,594
,586
,584
,587
,576
,586
,590
,595
,595
,589
,596
,602
,606
,597
,606
,613
,611
,612
,608
,603
,587
,582
,574
,570
,575
,597
,640
,686
,691
,681
,682
,676
,641
,644
,633
,617
,606
,597
,575
,574
,568
,555
,553
,554
,565
,606
,723
,749
,754
,724
,735
,697
,697
,674
,656
,634
,621
,608
,593
,575
,579
,570
,573
,569
,572
,576
,580
,574
,568
,570
,565
,574
,578
,578
,575
,564
,567
,565
,563
,553
,558
,554
,560
,584
,591
,604
,614
,620
,622
,599
,589
,580
,564
,564
,570
,593
,612
,630
,623
,615
,602
,596
,586
,571
,563
,555
,549
,543
,544
,552
,575
,598
,609
,614
,610
,607
,602
,596
,592
,578
,570
,565
,560
,563
,579
,705
,832
,809
,807
,790
,779
,756
,733
,698
,660
,640
,618
,602
,582
,568
,564
,558
,559
,605
,760
,723
,726
,732
,745
,724
,693
,661
,649
,636
,622
,619
,616
,601
,602
,603
,602
,601
,599
,612
,633
,653
,620
,637
,640
,652
,644
,619
,612
,609
,615
,642
,686
,726
,745
,732
,709
,676
,659
,644
,635
,628
,621
,615
,598
,597
,594
,599
,613
,624
,615
,598
,595
,596
,612
,641
,678
,669
,660
,656
,646
,638
,610
,610
,587
,584
,566
,563
,558
,563
,583
,599
,605
,597
,594
,584
,588
,590
,598
,612
,609
,633
,646
,668
,688
,676
,628
,616
,607
,601
,610
,700
,776
,775
,794
,804
,771
,733
,708
,680
,658
,637
,622
,614
,610
,611
,611
,605
,614
,624
,649
,686
,657
,664
,669
,668
,664
,671
,654
,642
,639
,632
,616
,635
,631
,632
,631
,640
,624
,613
,627
,618
,614
,607
,598
,594
,609
,654
,697
,715
,729
,750
,732
,707
,676
,650
,631
,616
,604
,594
,584
,578
,575
,568
,582
,627
,772
,925
,876
,864
,854
,855
,810
,754
,710
,676
,642
,631
,607
,600
,603
,614
,608
,624
,647
,675
,674
,676
,674
,667
,655
,624
,612
,610
,606
,611
,648
,686
,680
,693
,685
,669
,694
,687
,662
,655
,635
,616
,602
,589
,595
,597
,624
,646
,650
,617
,606
,606
,611
,645
,713
,735
,779
,784
,770
,735
,705
,683
,664
,642
,618
,602
,592
,588
,588
,624
,708
,795
,803
,799
,759
,710
,688
,663
,643
,630
,611
,604
,607
,617
,668
,738
,759
,753
,749
,724
,682
,680
,666
,662
,644
,650
,636
,622
,627
,641
,690
,731
,712
,699
,701
,703
,673
,650
,632
,616
,600
,586
,589
,590
,609
,628
,663
,693
,712
,687
,712
,713
,713
,677
,687
,676
,671
,653
,661
,660
,654
,669
,665
,682
,673
,673
,690
,692
,653
,658
,660
,671
,688
,667
,685
,687
,692
,663
,665
,645
,642
,633
,614
,623
,630
,647
,679
,663
,694
,690
,663
,687
,681
,663
,678
,676
,655
,671
,663
,649
,670
,665
,642
,658
,656
,666
,658
,633
,636
,644
,666
,699
,695
,680
,672
,663
,650
,636
,631
,626
,615
,623
,636
,633
,668
,684
,689
,696
,646
,656
,652
,656
,669
,642
,630
,620
,629
,651
,710
,758
,775
,754
,729
,710
,672
,668
,661
,652
,641
,616
,613
,610
,624
,703
,765
,748
,774
,783
,746
,749
,717
,692
,690
,670
,672
,655
,652
,673
,669
,709
,724
,691
,713
,691
,665
,671
,664
,668
,662
,678
,671
,687
,679
,672
,674
,667
,659
,662
,676
,685
,657
,668
,672
,684
,652
,669
,675
,690
,691
,673
,678
,668
,657
,633
,618
,620
,623
,641
,687
,741
,723
,711
,690
,673
,638
,630
,619
,617
,631
,652
,662
,679
,697
,690
,692
,685
,664
,654
,644
,632
,626
,613
,618
,609
,597
,603
,610
,602
,613
,638
,692
,736
,732
,707
,688
,670
,659
,655
,655
,636
,618
,606
,612
,627
,673
,694
,668
,670
,661
,654
,699
,584
,630
,609
,601
,576
,560
,549
,536
,527
,519
,512
,505
,501
,321
,167
,1440
,54
,413
,911
,4351
,45
,3176
