Time,Vertical,Lateral,Sagittal
24/09/2019 12:42:23.571,1974,2048,2074
24/09/2019 12:42:23.581,1972,2050,2073
24/09/2019 12:42:23.591,1972,2049,2073
24/09/2019 12:42:23.601,1970,2049,2073
24/09/2019 12:42:23.611,1970,2048,2073
24/09/2019 12:42:23.621,1970,2047,2072
24/09/2019 12:42:23.631,1969,2047,2073
24/09/2019 12:42:23.641,1971,2047,2072
24/09/2019 12:42:23.651,1973,2047,2071
24/09/2019 12:42:23.661,1974,2048,2069
24/09/2019 12:42:23.671,1975,2047,2069
24/09/2019 12:42:23.681,1975,2046,2069
24/09/2019 12:42:23.691,1975,2045,2069
24/09/2019 12:42:23.701,1974,2047,2069
24/09/2019 12:42:23.711,1974,2047,2069
24/09/2019 12:42:23.721,1974,2048,2070
24/09/2019 12:42:23.731,1972,2049,2069
24/09/2019 12:42:23.741,1972,2048,2069
24/09/2019 12:42:23.751,1971,2046,2069
24/09/2019 12:42:23.761,1971,2046,2070
24/09/2019 12:42:23.771,1970,2046,2069
24/09/2019 12:42:23.781,1971,2044,2068
24/09/2019 12:42:23.791,1971,2041,2069
24/09/2019 12:42:23.801,1972,2044,2069
24/09/2019 12:42:23.811,1968,2047,2067
24/09/2019 12:42:23.821,1965,2049,2067
24/09/2019 12:42:23.831,1964,2052,2068
24/09/2019 12:42:23.841,1966,2048,2070
24/09/2019 12:42:23.851,1968,2049,2074
24/09/2019 12:42:23.861,1970,2049,2072
24/09/2019 12:42:23.871,1973,2047,2072
24/09/2019 12:42:23.881,1974,2046,2070
24/09/2019 12:42:23.891,1973,2046,2067
24/09/2019 12:42:23.901,1972,2046,2068
24/09/2019 12:42:23.911,1971,2045,2067
24/09/2019 12:42:23.921,1972,2048,2065
24/09/2019 12:42:23.931,1969,2050,2067
24/09/2019 12:42:23.941,1970,2047,2070
24/09/2019 12:42:23.951,1971,2048,2071
24/09/2019 12:42:23.961,1971,2048,2069
24/09/2019 12:42:23.971,1972,2048,2067
24/09/2019 12:42:23.981,1973,2048,2068
24/09/2019 12:42:23.991,1974,2047,2068
24/09/2019 12:42:24.001,1972,2047,2067
24/09/2019 12:42:24.011,1971,2047,2070
24/09/2019 12:42:24.021,1973,2048,2070
24/09/2019 12:42:24.031,1973,2049,2070
24/09/2019 12:42:24.041,1973,2049,2073
24/09/2019 12:42:24.051,1972,2047,2074
24/09/2019 12:42:24.061,1972,2047,2074
24/09/2019 12:42:24.071,1971,2044,2071
