Time,Vertical,Lateral,Sagittal
17/10/2019 08:58:58.177,2053,2103,2001
17/10/2019 08:58:58.187,2054,2102,2001
17/10/2019 08:58:58.197,2054,2102,2002
17/10/2019 08:58:58.207,2055,2106,2002
17/10/2019 08:58:58.217,2055,2109,2002
17/10/2019 08:58:58.227,2054,2111,2002
17/10/2019 08:58:58.237,2054,2113,2002
17/10/2019 08:58:58.247,2053,2115,2005
17/10/2019 08:58:58.257,2054,2116,2004
17/10/2019 08:58:58.267,2055,2113,2006
17/10/2019 08:58:58.277,2059,2113,2005
17/10/2019 08:58:58.287,2061,2112,2004
17/10/2019 08:58:58.297,2066,2112,2005
17/10/2019 08:58:58.307,2070,2111,2004
17/10/2019 08:58:58.317,2071,2112,2004
17/10/2019 08:58:58.327,2072,2113,2005
17/10/2019 08:58:58.337,2068,2113,2004
17/10/2019 08:58:58.347,2068,2115,2008
17/10/2019 08:58:58.357,2065,2113,2008
17/10/2019 08:58:58.367,2063,2114,2010
17/10/2019 08:58:58.377,2063,2113,2014
17/10/2019 08:58:58.387,2063,2112,2014
17/10/2019 08:58:58.397,2064,2111,2016
17/10/2019 08:58:58.407,2064,2111,2015
17/10/2019 08:58:58.417,2066,2112,2015
17/10/2019 08:58:58.427,2066,2113,2015
17/10/2019 08:58:58.437,2065,2114,2014
17/10/2019 08:58:58.447,2064,2115,2011
17/10/2019 08:58:58.457,2063,2116,2011
17/10/2019 08:58:58.467,2063,2116,2009
17/10/2019 08:58:58.477,2063,2116,2007
17/10/2019 08:58:58.487,2063,2116,2006
17/10/2019 08:58:58.497,2063,2115,2006
17/10/2019 08:58:58.507,2062,2116,2003
17/10/2019 08:58:58.517,2062,2115,2003
17/10/2019 08:58:58.527,2062,2115,2004
17/10/2019 08:58:58.537,2063,2114,2003
17/10/2019 08:58:58.547,2063,2113,2002
17/10/2019 08:58:58.557,2063,2116,2001
17/10/2019 08:58:58.567,2064,2113,2002
17/10/2019 08:58:58.577,2063,2114,2003
17/10/2019 08:58:58.587,2064,2115,2003
17/10/2019 08:58:58.597,2063,2115,2003
17/10/2019 08:58:58.607,2064,2116,2002
17/10/2019 08:58:58.617,2063,2114,2001
17/10/2019 08:58:58.627,2064,2116,2001
17/10/2019 08:58:58.637,2063,2115,2001
17/10/2019 08:58:58.647,2064,2115,2001
17/10/2019 08:58:58.657,2067,2115,2000
