Time,RtoR
,546
,528
,538
,544
,543
,541
,541
,551
,552
,551
,552
,549
,565
,559
,556
,560
,560
,560
,552
,552
,549
,544
,535
,540
,542
,540
,542
,540
,540
,535
,543
,541
,541
,548
,530
,535
,536
,537
,527
,531
,535
,520
,530
,540
,540
,564
,553
,563
,566
,569
,549
,540
,548
,543
,530
,530
,535
,530
,535
,543
,546
,533
,532
,539
,532
,538
,543
,530
,542
,541
,559
,558
,544
,549
,544
,546
,531
,535
,540
,534
,537
,544
,548
,545
,547
,545
,558
,572
,554
,560
,560
,553
,549
,561
,575
,589
,587
,594
,588
,586
,562
,551
,557
,549
,536
,536
,544
,545
,545
,558
,565
,553
,551
,558
,539
,548
,552
,554
,550
,549
,551
,546
,541
,546
,552
,547
,541
,552
,545
,533
,540
,540
,527
,534
,528
,521
,521
,512
,517
,529
,535
,528
,533
,538
,530
,534
,541
,534
,528
,528
,532
,540
,561
,595
,614
,599
,594
,599
,601
,604
,585
,591
,590
,578
,606
,613
,600
,596
,639
,611
,584
,559
,542
,540
,521
,513
,509
,513
,500
,512
,522
,517
,521
,525
,524
,511
,518
,525
,521
,523
,527
,531
,520
,531
,532
,524
,524
,527
,525
,516
,523
,523
,523
,525
,536
,534
,517
,524
,531
,535
,532
,545
,552
,542
,551
,551
,549
,543
,549
,542
,545
,542
,551
,546
,553
,557
,570
,558
,561
,569
,547
,544
,544
,540
,539
,550
,541
,540
,553
,562
,571
,563
,584
,582
,571
,576
,580
,565
,569
,571
,562
,556
,549
,539
,521
,524
,523
,517
,527
,539
,546
,529
,546
,538
,532
,532
,541
,531
,539
,552
,546
,545
,547
,547
,537
,541
,551
,534
,540
,543
,549
,536
,544
,554
,539
,543
,543
,542
,535
,538
,542
,537
,541
,539
,551
,550
,544
,546
,559
,554
,555
,559
,552
,548
,547
,552
,544
,550
,553
,574
,558
,570
,573
,568
,565
,575
,563
,552
,557
,549
,544
,546
,555
,542
,553
,562
,546
,545
,551
,556
,537
,539
,534
,526
,533
,546
,545
,534
,546
,548
,540
,536
,545
,542
,535
,539
,536
,525
,526
,533
,536
,534
,536
,543
,538
,544
,547
,540
,537
,531
,531
,527
,527
,534
,551
,561
,572
,564
,568
,558
,555
,543
,538
,545
,563
,583
,570
,567
,586
,602
,586
,583
,596
,610
,605
,605
,609
,610
,584
,584
,582
,584
,575
,587
,614
,633
,592
,580
,563
,564
,586
,614
,606
,598
,578
,556
,552
,557
,576
,571
,574
,567
,569
,562
,558
,559
,559
,530
,537
,536
,540
,555
,584
,612
,619
,612
,607
,599
,585
,584
,582
,575
,592
,597
,615
,600
,618
,622
,630
,597
,602
,582
,566
,570
,572
,586
,601
,616
,599
,598
,597
,601
,588
,595
,617
,635
,625
,636
,632
,601
,599
,597
,601
,611
,604
,600
,581
,585
,601
,615
,652
,670
,666
,666
,664
,656
,653
,655
,612
,609
,617
,605
,626
,625
,623
,620
,631
,616
,614
,594
,582
,583
,593
,618
,643
,661
,650
,637
,647
,636
,635
,622
,612
,600
,602
,612
,616
,639
,643
,663
,683
,686
,690
,658
,640
,600
,589
,578
,582
,605
,646
,644
,660
,667
,671
,693
,670
,667
,658
,647
,637
,629
,637
,603
,594
,587
,593
,607
,625
,636
,652
,618
,609
,601
,591
,588
,598
,623
,634
,626
,625
,624
,644
,619
,631
,638
,649
,667
,696
,680
,699
,681
,665
,660
,661
,665
,670
,638
,641
,658
,671
,657
,667
,675
,684
,687
,674
,672
,658
,637
,640
,654
,668
,641
,650
,650
,657
,664
,673
,655
,639
,620
,604
,610
,610
,618
,646
,664
,671
,639
,625
,623
,624
,626
,625
,614
,614
,613
,602
,590
,583
,574
,575
,586
,581
,588
,581
,593
,611
,594
,594
,610
,617
,624
,622
,612
,601
,596
,588
,570
,563
,578
,589
,606
,612
,638
,682
,681
,679
,678
,658
,642
,619
,588
,575
,565
,567
,595
,628
,624
,628
,614
,612
,624
,647
,680
,678
,665
,649
,632
,590
,599
,589
,577
,600
,612
,636
,679
,700
,733
,737
,724
,734
,680
,639
,618
,592
,606
,629
,651
,679
,694
,710
,708
,683
,629
,629
,613
,613
,612
,634
,678
,764
,794
,775
,779
,783
,742
,659
,646
,646
,674
,645
